mere;bb;gest;ps;reg;tps;gdp
8;8,1;HP;C2;HPC2;3;18,1
8;8,2;HP;C1;HPC1;3;16,4
8;8,5;HP;NP;HPNP;3;20
10;10,2;NP;NP;NPNP;3;15,7
10;10,5;NP;C2;NPC2;3;18,2
11;11,1;NP;C2;NPC2;3;12,7
11;11,2;NP;C1;NPC1;3;14,7
11;11,3;NP;NP;NPNP;3;14,1
12;12,1;HP;C2;HPC2;3;17,8
12;12,2;HP;NP;HPNP;3;20,7
13;13,2;HP;C1;HPC1;3;17,4
13;13,3;HP;C2;HPC2;3;17,4
16;16,1;HP;NP;HPNP;3;17,5
16;16,2;HP;C2;HPC2;3;15,2
16;16,3;HP;C1;HPC1;3;12,4
17;17,1;NP;C1;NPC1;3;13,7
17;17,2;NP;C2;NPC2;3;17
17;17,3;NP;NP;NPNP;3;18,4
17;17,5;NP;C1;NPC1;3;19
18;18,2;HP;C1;HPC1;3;15,8
18;18,4;HP;NP;HPNP;3;17
19;19,1;NP;C1;NPC1;3;16,5
19;19,3;NP;NP;NPNP;3;18,4
19;19,4;NP;C2;NPC2;3;19,7
20;20,1;HP;C1;HPC1;3;18,7
20;20,3;HP;C2;HPC2;3;17,9
2;2,1;NP;C2;NPC2;4;17,4
2;2,2;NP;C1;NPC1;4;18,5
3;3,2;HP;C1;HPC1;4;22,5
3;3,3;HP;NP;HPNP;4;21,7
3;3,4;HP;C2;HPC2;4;23
4;4,1;NP;NP;NPNP;4;22,6
4;4,2;NP;NP;NPNP;4;20,8
4;4,3;NP;C1;NPC1;4;17,6
4;4,4;NP;C2;NPC2;4;23
4;4,5;NP;C1;NPC1;4;23,5
4;4,6;NP;C2;NPC2;4;19,6
5;5,1;NP;C1;NPC1;4;23
5;5,2;NP;C2;NPC2;4;7,8
5;5,4;NP;NP;NPNP;4;21,7
5;5,5;NP;NP;NPNP;4;19,8
6;6,1;HP;C1;HPC1;4;19,9
6;6,2;HP;C2;HPC2;4;18,4
7;7,1;HP;NP;HPNP;4;22,4
7;7,3;HP;C1;HPC1;4;14
7;7,5;HP;C2;HPC2;4;22,9
7;7,6;HP;NP;HPNP;4;20,8
8;8,1;HP;C2;HPC2;4;23,5
8;8,2;HP;C1;HPC1;4;22,5
8;8,5;HP;NP;HPNP;4;24,8
10;10,2;NP;NP;NPNP;4;19,3
10;10,5;NP;C2;NPC2;4;21,5
11;11,1;NP;C2;NPC2;4;18,2
11;11,2;NP;C1;NPC1;4;19,7
11;11,3;NP;NP;NPNP;4;17,8
12;12,1;HP;C2;HPC2;4;22,9
12;12,2;HP;NP;HPNP;4;25,1
13;13,2;HP;C1;HPC1;4;23,9
13;13,3;HP;C2;HPC2;4;22,9
16;16,1;HP;NP;HPNP;4;24,3
16;16,2;HP;C2;HPC2;4;20,7
16;16,3;HP;C1;HPC1;4;17,7
17;17,1;NP;C1;NPC1;4;20,9
17;17,2;NP;C2;NPC2;4;23,1
17;17,3;NP;NP;NPNP;4;23,4
17;17,5;NP;C1;NPC1;4;25,8
18;18,2;HP;C1;HPC1;4;20,9
18;18,4;HP;NP;HPNP;4;20,8
19;19,1;NP;C1;NPC1;4;20,2
19;19,3;NP;NP;NPNP;4;24
19;19,4;NP;C2;NPC2;4;23,5
20;20,1;HP;C1;HPC1;4;27,2
20;20,3;HP;C2;HPC2;4;27,1
2;2,1;NP;C2;NPC2;5;22
2;2,2;NP;C1;NPC1;5;22,8
3;3,2;HP;C1;HPC1;5;30,9
3;3,3;HP;NP;HPNP;5;28,2
3;3,4;HP;C2;HPC2;5;26,8
4;4,1;NP;NP;NPNP;5;30,7
4;4,2;NP;NP;NPNP;5;27,6
4;4,3;NP;C1;NPC1;5;26,3
4;4,4;NP;C2;NPC2;5;28,4
4;4,5;NP;C1;NPC1;5;31,1
4;4,6;NP;C2;NPC2;5;22
5;5,1;NP;C1;NPC1;5;29,5
5;5,2;NP;C2;NPC2;5;13,4
5;5,4;NP;NP;NPNP;5;27,8
5;5,5;NP;NP;NPNP;5;26
6;6,1;HP;C1;HPC1;5;27,2
6;6,2;HP;C2;HPC2;5;23,7
7;7,1;HP;NP;HPNP;5;28,2
7;7,3;HP;C1;HPC1;5;20
7;7,5;HP;C2;HPC2;5;27,9
7;7,6;HP;NP;HPNP;5;27,2
8;8,1;HP;C2;HPC2;5;28,1
8;8,2;HP;C1;HPC1;5;26,3
8;8,5;HP;NP;HPNP;5;31,7
10;10,2;NP;NP;NPNP;5;24,8
10;10,5;NP;C2;NPC2;5;27,5
11;11,1;NP;C2;NPC2;5;24,2
11;11,2;NP;C1;NPC1;5;25,2
11;11,3;NP;NP;NPNP;5;22,3
12;12,1;HP;C2;HPC2;5;27,7
12;12,2;HP;NP;HPNP;5;29,8
13;13,2;HP;C1;HPC1;5;28,3
13;13,3;HP;C2;HPC2;5;30,4
16;16,1;HP;NP;HPNP;5;30,5
16;16,2;HP;C2;HPC2;5;27,7
16;16,3;HP;C1;HPC1;5;25,3
17;17,1;NP;C1;NPC1;5;27,6
17;17,2;NP;C2;NPC2;5;29,6
17;17,3;NP;NP;NPNP;5;30,1
17;17,5;NP;C1;NPC1;5;30,8
18;18,2;HP;C1;HPC1;5;24,1
18;18,4;HP;NP;HPNP;5;26,2
19;19,1;NP;C1;NPC1;5;25,8
19;19,3;NP;NP;NPNP;5;30
19;19,4;NP;C2;NPC2;5;28,8
20;20,1;HP;C1;HPC1;5;35,4
20;20,3;HP;C2;HPC2;5;31,9
2;2,1;NP;C2;NPC2;6;25,7
2;2,2;NP;C1;NPC1;6;29,1
3;3,2;HP;C1;HPC1;6;35,8
3;3,3;HP;NP;HPNP;6;29,2
3;3,4;HP;C2;HPC2;6;31,7
4;4,1;NP;NP;NPNP;6;36
4;4,2;NP;NP;NPNP;6;31,7
4;4,3;NP;C1;NPC1;6;31,4
4;4,4;NP;C2;NPC2;6;34,6
4;4,5;NP;C1;NPC1;6;36,9
4;4,6;NP;C2;NPC2;6;27,7
5;5,1;NP;C1;NPC1;6;34,7
5;5,2;NP;C2;NPC2;6;18
5;5,4;NP;NP;NPNP;6;32
5;5,5;NP;NP;NPNP;6;30,2
6;6,1;HP;C1;HPC1;6;36,3
6;6,2;HP;C2;HPC2;6;28,6
7;7,1;HP;NP;HPNP;6;35
7;7,3;HP;C1;HPC1;6;26,5
7;7,5;HP;C2;HPC2;6;34,6
7;7,6;HP;NP;HPNP;6;32,8
8;8,1;HP;C2;HPC2;6;36,3
8;8,2;HP;C1;HPC1;6;31,1
8;8,5;HP;NP;HPNP;6;37,3
10;10,2;NP;NP;NPNP;6;29,4
10;10,5;NP;C2;NPC2;6;33,5
11;11,1;NP;C2;NPC2;6;29,1
11;11,2;NP;C1;NPC1;6;29
11;11,3;NP;NP;NPNP;6;27,4
12;12,1;HP;C2;HPC2;6;32,3
12;12,2;HP;NP;HPNP;6;32,8
13;13,2;HP;C1;HPC1;6;36
13;13,3;HP;C2;HPC2;6;34,6
16;16,1;HP;NP;HPNP;6;36,6
16;16,2;HP;C2;HPC2;6;32,3
16;16,3;HP;C1;HPC1;6;28,3
17;17,1;NP;C1;NPC1;6;33,6
17;17,2;NP;C2;NPC2;6;35
17;17,3;NP;NP;NPNP;6;35,3
17;17,5;NP;C1;NPC1;6;35,3
18;18,2;HP;C1;HPC1;6;28,1
18;18,4;HP;NP;HPNP;6;31,6
19;19,1;NP;C1;NPC1;6;28
19;19,3;NP;NP;NPNP;6;34
19;19,4;NP;C2;NPC2;6;33
20;20,1;HP;C1;HPC1;6;37,9
20;20,3;HP;C2;HPC2;6;35,8
2;2,1;NP;C2;NPC2;7;32,4
2;2,2;NP;C1;NPC1;7;32,7
3;3,2;HP;C1;HPC1;7;41,2
3;3,3;HP;NP;HPNP;7;34,9
3;3,4;HP;C2;HPC2;7;37,1
4;4,1;NP;NP;NPNP;7;43,4
4;4,2;NP;NP;NPNP;7;37
4;4,3;NP;C1;NPC1;7;37,1
4;4,4;NP;C2;NPC2;7;36,4
4;4,5;NP;C1;NPC1;7;41,7
4;4,6;NP;C2;NPC2;7;33,6
5;5,1;NP;C1;NPC1;7;39,5
5;5,2;NP;C2;NPC2;7;23,3
5;5,4;NP;NP;NPNP;7;38,4
5;5,5;NP;NP;NPNP;7;34,7
6;6,1;HP;C1;HPC1;7;35,4
6;6,2;HP;C2;HPC2;7;31
7;7,1;HP;NP;HPNP;7;39,4
7;7,3;HP;C1;HPC1;7;32,5
7;7,5;HP;C2;HPC2;7;43,3
7;7,6;HP;NP;HPNP;7;36,4
8;8,1;HP;C2;HPC2;7;41,4
8;8,2;HP;C1;HPC1;7;36
8;8,5;HP;NP;HPNP;7;42,9
10;10,2;NP;NP;NPNP;7;36,9
10;10,5;NP;C2;NPC2;7;39,7
11;11,1;NP;C2;NPC2;7;33,4
11;11,2;NP;C1;NPC1;7;35
11;11,3;NP;NP;NPNP;7;31,8
12;12,1;HP;C2;HPC2;7;40,6
12;12,2;HP;NP;HPNP;7;38,1
13;13,2;HP;C1;HPC1;7;39,7
13;13,3;HP;C2;HPC2;7;40,7
16;16,1;HP;NP;HPNP;7;43,7
16;16,2;HP;C2;HPC2;7;38,1
16;16,3;HP;C1;HPC1;7;35,5
17;17,1;NP;C1;NPC1;7;39,6
17;17,2;NP;C2;NPC2;7;43,5
17;17,3;NP;NP;NPNP;7;43,4
17;17,5;NP;C1;NPC1;7;41,6
18;18,2;HP;C1;HPC1;7;32
18;18,4;HP;NP;HPNP;7;38,2
19;19,1;NP;C1;NPC1;7;34
19;19,3;NP;NP;NPNP;7;40,8
19;19,4;NP;C2;NPC2;7;40,9
20;20,1;HP;C1;HPC1;7;48,9
20;20,3;HP;C2;HPC2;7;42,4
2;2,1;NP;C2;NPC2;8;37,1
2;2,2;NP;C1;NPC1;8;38,1
3;3,2;HP;C1;HPC1;8;46,26666667
3;3,3;HP;NP;HPNP;8;37,46666667
3;3,4;HP;C2;HPC2;8;42,16666667
4;4,1;NP;NP;NPNP;8;49,4
4;4,2;NP;NP;NPNP;8;41,5
4;4,3;NP;C1;NPC1;8;42,4
4;4,4;NP;C2;NPC2;8;41,13333333
4;4,5;NP;C1;NPC1;8;47,16666667
4;4,6;NP;C2;NPC2;8;39,36666667
5;5,1;NP;C1;NPC1;8;44,56666667
5;5,2;NP;C2;NPC2;8;28,13333333
5;5,4;NP;NP;NPNP;8;43,33333333
5;5,5;NP;NP;NPNP;8;39
6;6,1;HP;C1;HPC1;8;41,16666667
6;6,2;HP;C2;HPC2;8;35,06666667
7;7,1;HP;NP;HPNP;8;45,4
7;7,3;HP;C1;HPC1;8;38,83333333
7;7,5;HP;C2;HPC2;8;50,66666667
7;7,6;HP;NP;HPNP;8;41,33333333
8;8,1;HP;C2;HPC2;8;48,56666667
8;8,2;HP;C1;HPC1;8;40,83333333
8;8,5;HP;NP;HPNP;8;48,5
10;10,2;NP;NP;NPNP;8;41,95
10;10,5;NP;C2;NPC2;8;45,7
11;11,1;NP;C2;NPC2;8;38,85
11;11,2;NP;C1;NPC1;8;39,65
11;11,3;NP;NP;NPNP;8;36,6
12;12,1;HP;C2;HPC2;8;45,3
12;12,2;HP;NP;HPNP;8;41,95
13;13,2;HP;C1;HPC1;8;45,75
13;13,3;HP;C2;HPC2;8;46,55
16;16,1;HP;NP;HPNP;8;50,13333333
16;16,2;HP;C2;HPC2;8;43,1
16;16,3;HP;C1;HPC1;8;39,9
17;17,1;NP;C1;NPC1;8;45,6
17;17,2;NP;C2;NPC2;8;49,93333333
17;17,3;NP;NP;NPNP;8;49,56666667
17;17,5;NP;C1;NPC1;8;46,7
18;18,2;HP;C1;HPC1;8;35,96666667
18;18,4;HP;NP;HPNP;8;44
19;19,1;NP;C1;NPC1;8;37,46666667
19;19,3;NP;NP;NPNP;8;45,73333333
19;19,4;NP;C2;NPC2;8;46,33333333
20;20,1;HP;C1;HPC1;8;49,9
20;20,3;HP;C2;HPC2;8;47,2
2;2,1;NP;C2;NPC2;9;42,3
2;2,2;NP;C1;NPC1;9;43,05
3;3,2;HP;C1;HPC1;9;51,41666667
3;3,3;HP;NP;HPNP;9;40,81666667
3;3,4;HP;C2;HPC2;9;47,31666667
